SAMER08F,http://www.spoj.pl/problems/SAMER08F,beginner easy
SAMER08G,http://www.spoj.pl/problems/SAMER08G,beginner easy
SCALE,http://www.spoj.pl/problems/SCALE,brute force binary search
SCAVHUNT,http://www.spoj.pl/problems/SCAVHUNT,beginner easy
SCUBADIV,http://www.spoj.pl/problems/SCUBADIV,dp easy
SEQ5,http://www.spoj.pl/problems/SEQ5,adhoc data-structure
SEQ6,http://www.spoj.pl/problems/SEQ6,math
SEQ,http://www.spoj.pl/problems/SEQ,matrix exponentiation recurrence
SERVICE,http://www.spoj.pl/problems/SERVICE,dp
SETNJA,http://www.spoj.pl/problems/SETNJA,adhoc biginteger
SHPATH,http://www.spoj.pl/problems/SHPATH,dijkstra
SOLIT,http://www.spoj.pl/problems/SOLIT,bfs hard
SQFREE,http://www.spoj.pl/problems/SQFREE,number theory sieve hard inclusion exclusion
SQRBR,http://www.spoj.pl/problems/SQRBR,dp easy
SSHUFFLE,http://www.spoj.pl/problems/SSHUFFLE,dp medium
STABARDS,http://www.spoj.pl/problems/STABARDS,matching
STABLEMP,http://www.spoj.pl/problems/STABLEMP,as name suggests
STREET,http://www.spoj.pl/problems/STREET,dp hard
SUBS,http://www.spoj.pl/problems/SUBS,binary search
SUBSEQ,http://www.spoj.pl/problems/SUBSEQ,simple datastructure
SUBSUMS,http://www.spoj.pl/problems/SUBSUMS,bitmasks binary search
SUMFOUR,http://www.spoj.pl/problems/SUMFOUR,binary search easy
SVADA,http://www.spoj.pl/problems/SVADA,binary search hard
SWTHIN,http://www.spoj.pl/problems/SWTHIN,adhoc math
TAXI,http://www.spoj.pl/problems/TAXI,matching maxflow
TEM,http://www.spoj.pl/problems/TEM,dp
TEMPTISL,http://www.spoj.pl/problems/TEMPTISL,dp easy
TETRAVEX,http://www.spoj.pl/problems/TETRAVEX,brute force adhoc
THREECOL,http://www.spoj.pl/problems/THREECOL,dp
TOURIST,http://www.spoj.pl/problems/TOURIST,dp hard
TPERML,http://www.spoj.pl/problems/TPERML,unranking a permutation
TRAFFICN,http://www.spoj.pl/problems/TRAFFICN,dijkstra easy basic graph theory
TREE1,http://www.spoj.pl/problems/TREE1,big int math
TREE,http://www.spoj.pl/problems/TREE,combinatrics recursion dp/memoisation big integer
TRGRID,http://www.spoj.pl/problems/TRGRID,adhoc
TRIP,http://www.spoj.pl/problems/TRIP,"dp, efficient reconstruction"
TRSTAGE,http://www.spoj.pl/problems/TRSTAGE,dijkstra bitmasks medium
TRT,http://www.spoj.pl/problems/TRT,dp
TTTABLE,http://www.spoj.pl/problems/TTTABLE,adhoc
TUTMRBL,http://www.spoj.pl/problems/TUTMRBL,easy number theory
TWINSNOW,http://www.spoj.pl/problems/TWINSNOW,""
UCI2009B,http://www.spoj.pl/problems/UCI2009B,number theory easy
UCI2009D,http://www.spoj.pl/problems/UCI2009D,backtracking
UJ,http://www.spoj.pl/problems/UJ,easy bigint math
UPSUB,http://www.spoj.pl/problems/UPSUB,dp LIS
VBOSS,http://www.spoj.pl/problems/VBOSS,dp hard sorting
VGCD,http://www.spoj.pl/problems/VGCD,big integer adhoc
VMILI,http://www.spoj.pl/problems/VMILI,geometry convex hull
VOCV,http://www.spoj.pl/problems/VOCV,"dp on tree, harder version of PT07X"
VONNY,http://www.spoj.pl/problems/VONNY,backtracking
WEIRDFN,http://www.spoj.pl/problems/WEIRDFN,data-structure
WIJGT,http://www.spoj.pl/problems/WIJGT,geometry dfs
WORMS,http://www.spoj.pl/problems/WORMS,dp big integer
WSCIPHER,http://www.spoj.pl/problems/WSCIPHER,adhoc
XOINC,http://www.spoj.pl/problems/XOINC,dp
YAPP,http://www.spoj.pl/problems/YAPP,adhoc
YODA,http://www.spoj.pl/problems/YODA,dp easy
YODANESS,http://www.spoj.pl/problems/YODANESS,bit or segment tree or merge sort
ANGELS,http://www.spoj.pl/problems/ANGELS,Bipartite Matching
CATTLEB,http://www.spoj.pl/problems/CATTLEB,"Computational Geometry, Physics"
DISJPATH,http://www.spoj.pl/problems/DISJPATH,Maximum Flow
GUESSING,http://www.spoj.pl/problems/GUESSING,Binary Search
MTREE,http://www.spoj.pl/problems/MTREE,dp on tree
PALIN,http://www.spoj.pl/problems/PALIN,Adhoc
SUBST1,http://www.spoj.pl/problems/SUBST1,Suffix Arrays
ARRANGE,http://www.spoj.pl/problems/ARRANGE,Sorting
DISQUERY,http://www.spoj.pl/problems/DISQUERY,Lowest Common Ancestor
MATCHING,http://www.spoj.pl/problems/MATCHING,Maximum Matching
TREASURY,http://www.spoj.pl/problems/TREASURY,"dp on tree, bignum"
BOOKS1,http://www.spoj.pl/problems/BOOKS1,Binary Search
CNTTREE,http://www.spoj.pl/problems/CNTTREE,dp on tree
DISUBSTR,http://www.spoj.pl/problems/DISUBSTR,Suffix Arrays
